steps
12180
16181
14856
1176
6567
21528
2761
12160
16948
3004
4193
6430
13530
5181
5801
6431
42525
20789
21932
23021
21516
27575
3468
17526
6297
912
4282
13866
836
4138
1864
3666
3368
11403
1159
11733
20061
17560
1904
10085
3153
13085
7002
11663
893
6158
17827
19064
5734
2967
11975
21507
31909
25431
16826
30640
21693
22909
25297
16294
20182
22032
15235
34462
26275
25761
21829
13254
13993
2166
7832
8388
6809
10444
8689
2727
19833
15780
3108
15034
5243
6598
7539
14007
4971
1818
3381
18588
12816
21219
7751
4281
17471
7976
15810
21515
23677
21064
23452
19394
17388
10855
6099
9024
16854
11638
6810
10742
5935
4125
10599
19050
9422
9097
6650
6581
14561
13004
18621
10102
12002
12769
9011
14200
7516
17691
7470
10686
13467
695
9955
12461
11248
18600
7265
14740
6986
9919
9895
14957
11198
5929
12468
733
971
14255
13939
11104
10180
7741
3386
9518
8831
15233
5686
9726
7131
8411
10516
20315
10880
6138
9150
9155
4806
2794
12508
13146
15677
6566
5931
8792
9688
21735
16719
13465
11282
11994
18746
1313
10820
11077
7685
4126
10452
1740
1535
8236
5570
9397
11364
7942
5635
14163
6280
9534
3821
20532
6880
17247
22819
11531
13242
22640
16555
9808
7693
17905
15653
7403
8341
3435
5537
1740
5132
16373
10242
11337
5453
16231
14883
10490
12175
13559
12274
13777
13087
15014
17558
16667
10137
10366
6054
10191
15275
9172
6712
7327
5984
8216
7213
3147
694
7546
15603
11447
7140
7141
5373
11329
7415
8209
11293
6270
10419
8926
14168
14304
10594
7416
7341
20436
14209
9817
9524
11405
5237
7709
5648
7470
6641
3787
3137
11348
10805
10796
4377
14694
4879
8397
100
1558
10044
3296
7933
3712
958
2208
11416
7425
7574
3262
10224
7271
4238
7108
10076
11320
21318
10961
11704
11686
12135
10401
11404
22282
10959
11614
11562
11021
11251
9867
6574
5577
12069
6386
8592
5539
17539
6441
12916
9345
5568
7140
7637
14075
8140
12887
13433
12183
6827
11558
1766
13563
12554
4440
9432
12820
6649
5756
12317
16427
20114
17462
8707
1619
8757
11865
3269
29344
6422
2145
9190
7200
6360
17357
4028
1280
12316
2736
7034
