floors
21
30
40
4
32
62
4
70
13
6
10
21
85
4
7
11
223
34
24
32
34
120
1
16
18
4
5
19
2
7
4
3
4
20
2
18
31
45
3
64
3
15
21
20
1
5
19
24
14
8
18
37
63
47
56
34
50
37
32
14
33
18
7
10
12
52
12
7
78
3
17
8
2
27
3
3
14
22
2
20
4
39
21
47
4
3
4
13
10
17
18
12
28
13
19
39
42
37
59
36
28
4
4
72
33
28
20
22
3
6
25
46
23
18
30
6
5
39
48
19
33
15
19
54
15
35
23
26
28
0
6
22
26
44
16
32
4
7
15
30
14
16
25
0
0
30
27
30
22
15
1
8
14
37
18
18
23
8
7
29
24
16
30
17
5
1
21
33
34
41
17
9
0
19
38
19
3
21
20
2
39
9
3
10
7
2
5
42
1
14
69
21
4
9
15
13
4
75
22
33
38
35
26
48
24
26
6
25
16
13
37
9
9
0
3
41
36
52
1
14
66
29
44
34
53
36
38
18
63
25
29
23
20
23
27
32
18
30
33
24
14
1
0
16
36
33
14
17
9
8
20
23
65
46
47
8
7
19
26
19
13
42
26
14
18
27
12
57
38
34
13
8
2
35
1
27
3
66
35
19
0
3
20
9
16
7
0
3
28
15
6
0
16
19
9
18
20
0
46
17
25
11
26
21
27
41
38
29
28
24
19
8
0
24
36
16
19
17
18
5
15
20
18
23
20
13
12
19
20
21
0
21
0
4
36
3
25
18
17
3
11
25
42
36
15
4
35
35
2
28
8
7
7
39
7
17
4
2
18
6
37
42
18
5
20
7
3
18
18
4
5
28
20
1
23
15
19
16
3
14
15
21
51
17
15
13
16
5
20
77
3
12
16
15
1
14
2
18
15
11
38
17
19
33
13
9
3
22
6
19
35
4
16
14
13
51
24
4
14
43
11
15
16
18
265
15
10
324
1
6
14
2
10
13
1
13
7
10
15
2
12
5
13
21
3
19
51
58
48
46
27
16
15
25
36
87
43
78
113
47
56
106
86
71
32
46
3
54
20
29
15
11
428
28
28
22
25
23
29
0
14
25
20
17
17
29
1
1
41
76
48
41
20
20
7
25
15
19
39
48
395
0
21
21
30
20
33
0
11
46
68
81
20
44
41
0
44
20
24
5
17
63
0
17
26
41
21
18
379
12
51
18
16
24
1
18
13
17
15
36
14
26
34
0
1
15
5
11
7
4
30
23
38
1
38
1
6
1
1
28
96
2
3
15
11
15
36
36
36
29
57
37
12
14
1
11
19
47
0
37
18
23
24
33
39
0
26
11
25
56
31
308
11
24
16
18
26
18
22
12
22
13
20
15
14
52
3
35
18
13
17
13
37
2
21
22
15
13
22
403
17
14
20
17
15
1
74
3
21
26
29
22
36
47
2
14
14
25
18
33
45
12
17
19
15
16
13
35
15
26
13
12
0
12
0
0
17
18
0
11
13
18
6
4
1
2
3
1
75
66
1
4
2
1
6
45
68
20
2
9
25
36
15
11
0
22
22
15
16
10
28
21
19
14
16
10
1
5
19
13
11
32
13
0
18
9
10
17
39
27
14
0
17
2
41
30
4
36
6
4
13
12
67
6
70
145
437
56
99
102
12
66
14
6
3
14
18
0
17
48
20
0
25
10
0
9
12
40
22
17
2
4
9
49
5
6
5
5
3
23
69
43
57
17
51
36
51
21
68
21
39
15
16
22
11
19
15
45
3
21
19
22
68
42
17
22
8
17
42
7
3
26
3
26
16
8
3
4
4
254
68
17
18
21
11
12
14
9
26
22
13
9
11
6
6
20
14
3
11
12
7
10
13
12
5
11
13
12
36
14
7
14
7
8
13
40
3
10
15
7
15
15
20
16
5
11
13
7
10
39
32
8
13
7
27
9
29
39
11
5
23
21
29
27
38
34
2
5
0
11
18
33
5
24
23
6
36
10
27
6
26
9
25
12
16
18
36
8
10
14
8
31
33
6
19
25
4
14
27
32
8
33
16
7
30
24
57
8
16
11
60
25
32
21
44
31
38
22
14
28
154
3
14
5
28
6
22
40
5
54
19
17
18
18
60
6
21
22
37
9
18
17
150
9
6
15
11
12
46
9
29
9
44
19
65
36
15
39
7
30
10
30
55
11
27
32
32
14
54
74
32
32
14
46
16
54
39
5
32
6
5
13
10
49
77
19
11
18
11
14
7
30
15
13
57
22
23
12
82
16
15
22
12
40
330
18
20
22
29
9
29
41
36
22
5
17
56
8
33
13
17
7
23
33
7
32
3
79
11
40
15
18
21
8
35
8
23
25
95
103
6
7
12
13
3
117
1
70
8
16
15
11
93
71
80
48
38
100
29
63
3
106
28
15
7
51
22
5
12
19
16
28
28
79
