person,steps
slance,8176
slance,4531
slance,6236
slance,4273
slance,5500
slance,8790
slance,5782
slance,2949
slance,2223
slance,7348
slance,5784
slance,1331
slance,5654
slance,4141
slance,7637
slance,5146
slance,3945
slance,4148
slance,2225
slance,15674
slance,5588
slance,5691
slance,12475
slance,8197
slance,3226
slance,9584
slance,8121
slance,13481
slance,15322
slance,6990
slance,14049
slance,12089
slance,13356
slance,10837
slance,10819
slance,14359
slance,12491
slance,1738
slance,14449
slance,11722
slance,15132
slance,14136
slance,4419
slance,9489
slance,5717
slance,10361
slance,11675
slance,2418
slance,6033
slance,7253
slance,4841
slance,10610
slance,4604
slance,14085
slance,8226
slance,1629
slance,3771
slance,12783
slance,14034
slance,8156
slance,5498
slance,2923
slance,17197
slance,4707
slance,9838
slance,2542
slance,10058
slance,5662
slance,9195
slance,11612
slance,7865
slance,5691
slance,7239
slance,12913
slance,5748
slance,15758
slance,8774
slance,7856
slance,11780
slance,10540
slance,7322
slance,8932
slance,4745
slance,8524
slance,12105
slance,5191
slance,14250
slance,8581
slance,5699
slance,8452
slance,2017
slance,5897
slance,5764
slance,13163
slance,10278
slance,15289
slance,11717
slance,15136
slance,13059
slance,12214
slance,11031
slance,13004
slance,13170
slance,13017
slance,3059
slance,4032
slance,7001
slance,8820
slance,7144
slance,1555
slance,7853
slance,15209
slance,5684
slance,10006
slance,3051
slance,12953
slance,6589
slance,4526
slance,5906
slance,10617
slance,7632
slance,6210
slance,13593
slance,6282
slance,6184
slance,5710
slance,10748
slance,5818
slance,9534
slance,11925
slance,15632
slance,14382
slance,16044
slance,27169
slance,26410
slance,20007
slance,12537
slance,9161
slance,8825
slance,8111
slance,10139
slance,5780
slance,3643
slance,12696
slance,6081
slance,10482
slance,6111
slance,8261
slance,8304
slance,5430
slance,10073
slance,7654
slance,5298
slance,14782
slance,5176
slance,6558
slance,3197
slance,11738
slance,8698
slance,7715
slance,3338
slance,5837
slance,18587
slance,6979
slance,18176
slance,23441
slance,24436
slance,21490
slance,7862
slance,10040
slance,10110
slance,12693
slance,3236
slance,6795
slance,6304
slance,13487
slance,4207
slance,5193
slance,8648
slance,7712
slance,6031
slance,13002
slance,5286
slance,6868
slance,4307
slance,8852
slance,5870
slance,7554
slance,9352
slance,7413
slance,17374
slance,6002
slance,3700
slance,4249
slance,11209
slance,8114
slance,9793
slance,5198
slance,4999
slance,11457
slance,11491
slance,3959
slance,5066
slance,14804
slance,20958
slance,13969
slance,15719
slance,8847
slance,3627
slance,6606
slance,9255
slance,7024
slance,3979
slance,10469
slance,4818
slance,6732
slance,11285
slance,7324
slance,7493
slance,5680
slance,16624
slance,5795
slance,4307
slance,12353
slance,4360
slance,7032
slance,6915
slance,10690
slance,12009
slance,6033
slance,9966
slance,6055
slance,11206
slance,5794
slance,13516
slance,10347
slance,8448
slance,10061
slance,10724
slance,15643
slance,15739
slance,10937
slance,6810
slance,10493
slance,4096
slance,7104
slance,5456
slance,4112
slance,15388
slance,6113
slance,9301
slance,8551
slance,2934
slance,1837
slance,3895
slance,9778
slance,5479
slance,5909
slance,4637
slance,2853
slance,5588
slance,9426
slance,4859
slance,8335
slance,4659
slance,10174
slance,5743
slance,8431
slance,8305
slance,13020
slance,7651
slance,2941
slance,8642
slance,7760
slance,7546
slance,5754
slance,9397
slance,3298
slance,2925
slance,3841
slance,3654
slance,6808
slance,7360
slance,10711
slance,3779
slance,10620
slance,4917
slance,10997
slance,6727
slance,6030
slance,6420
slance,5634
slance,8906
slance,8102
slance,19266
slance,17168
slance,3262
slance,9770
slance,6938
slance,14105
slance,6750
slance,5409
slance,6525
slance,6071
slance,6487
slance,6849
slance,5891
slance,3471
slance,13794
slance,11164
slance,4129
slance,8098
slance,9482
slance,9407
slance,3939
slance,4248
slance,8004
slance,5363
slance,10422
slance,8530
slance,6177
slance,2978
slance,6645
slance,6937
slance,2221
slance,8843
slance,5243
slance,7092
slance,10154
slance,5958
slance,3712
slance,5497
slance,7867
slance,8034
slance,8264
slance,7852
slance,5764
slance,9119
slance,16447
slance,4973
slance,9669
slance,10192
slance,8779
slance,9304
slance,16914
slance,15933
slance,16214
slance,3632
slance,6712
slance,3799
slance,8166
slance,2425
slance,17124
slance,11222
slance,6664
slance,1396
slance,3397
slance,4568
slance,7948
slance,4611
slance,15137
slance,14776
slance,6424
slance,5867
